Molecule,conformer_generate_time,ave_conformer_generate_time,Total_conformer_num,Unique_structures
e6,0.028105445,0.000346981,81,40
e2,0.005442158,0.001814053,3,3
e8,0.013297327,0.000492494,27,9
e3,0.005750162,0.001916721,3,3
e4,0.005783794,0.001927931,3,3
e1,0.003546451,0.00118215,3,3
e9,0.200222632,9.16E-05,2187,322
e7,0.014998897,0.000555515,27,25
e5,0.005889059,0.00196302,3,3
e27,0.03209184,0.000396196,81,65
e32,0.007738998,0.000859889,9,9
e23,0.031953323,0.000394485,81,75
e33,0.247405086,0.000339376,729,544
e15,0.029465471,0.000363771,81,60
e37,0.990937604,0.000151035,6561,1627
e14,0.007454356,0.000828262,9,9
e34,1.509564193,0.000230081,6561,3432
e13,0.008256951,0.000917439,9,9
e16,0.030081127,0.000371372,81,54
e12,0.009594893,0.001066099,9,9
e10,0.007684055,0.000853784,9,9
e36,502.3080957,0.00010502,4782969,531264
e29,0.010046515,0.001116279,9,9
e24,0.012355772,0.001372864,9,9
e30,0.007730469,0.000858941,9,9
e18,0.00927765,0.00103085,9,9
e35,27.07003177,0.000152811,177147,57280
e19,0.013893221,0.000514564,27,24
e22,0.008332133,0.000925793,9,9
e11,0.009259722,0.001028858,9,9
e17,0.030590517,0.000377661,81,65
e20,0.007664467,0.000851607,9,9
e28,0.030404701,0.000375367,81,58
e26,0.032314497,0.000398944,81,75
e21,0.009295712,0.001032857,9,9
e31,0.009598634,0.001066515,9,9
e25,0.0074611,0.000829011,9,8
