Molecule,Diamond_MacroModel,Diamond_RDKit,MCLMCS,MCMM,SPMC,LMCS
e1,7.891976297,6.425346578,27.93,15.385,20.465,30.54666667
e2,7.94534183,6.645374045,29.37333333,12.28,14.23,33.73666667
e3,7.792474657,6.572257934,31.925,13.97,16.235,38.075
e4,7.83540173,6.345427954,31.06,14.845,17.605,38.91
e5,7.795647703,6.232520285,30.65,14.195,18.435,38.98
e6,8.348180774,5.369985466,7.251666667,2.694444444,11.88457143,10.39392857
e7,7.315191098,5.162431806,7.201578947,2.887894737,3.218947368,8.143157895
e8,7.806459094,5.33659219,5.940740741,2.160740741,2.244074074,6.51962963
e9,9.370928101,5.978775439,7.513789474,1.563356643,2.203762376,7.696315789
e10,7.904773505,7.946903946,11.31666667,4.198333333,4.670833333,12.9425
e11,7.79244383,7.132308205,5.842631579,2.088421053,2.453684211,6.876315789
e12,7.669122586,6.947905381,7.956,3.453,3.5,8.975
e13,7.761291498,7.803493452,17.845,6.77,7.845,41.40333333
e14,7.716860825,7.819225451,13.33625,5.09375,6.15,15.2575
e15,7.923264079,8.112832445,4.915526316,1.869473684,1.900810811,5.492105263
e16,7.880988043,8.096818771,8.267407407,2.918518519,2.966666667,9.228846154
e17,7.87106249,8.122599747,4.575116279,1.708571429,1.752380952,5.167209302
e18,7.811278899,7.835834501,17.82333333,6.735,8.625,43.86
e19,7.730443781,7.877662917,5.990740741,2.395555556,2.213333333,6.712592593
e20,7.786848925,7.812425468,5.741052632,2.074210526,2.464736842,7.028947368
e21,7.80133487,7.818006008,5.843157895,2.292105263,2.334736842,6.826842105
e22,7.761298582,7.826991271,9.05,3.604166667,3.775833333,10.47833333
e23,7.64260748,7.831648344,3.32516129,1.152096774,1.404693878,3.695967742
e24,7.726890695,7.79030787,9.021538462,3.401538462,4.348333333,10.81923077
e25,7.773961143,7.815210716,15.25666667,5.741111111,6.395555556,17.90666667
e26,7.695815011,7.853797847,2.096880734,0.723333333,0.986538462,2.339821429
e27,7.68068903,7.880637336,4.091960784,1.409607843,1.455490196,4.874509804
e28,7.775660262,7.962172416,2.314301075,0.910869565,0.83978022,2.622580645
e29,7.845866734,7.848184438,12.05083333,4.2425,4.665,14.71916667
e30,7.721354803,7.811354015,18.09333333,6.388333333,7.62,20.94333333
e31,7.729140517,7.823646825,17.04833333,6.341666667,7.595,22.305
e32,7.78912385,7.786886709,9.302142857,3.034285714,3.363571429,9.893571429
e33,6.670075742,7.897460189,3.687615385,1.137328244,1.741481481,3.942442748
e34,6.612225936,8.88672215,4.439552239,1.600539216,3.377714286,4.706958175
e35,9.930419997,11.00488088,5.655398458,3.637056075,6.892142857,6.455476839
e36,54.57642338,10.92094496,10.03505,9.106325301,3.179100346,10.05973105
e37,7.748048978,9.128985252,2.6816,1.025180723,1.960707071,2.770540541
